ID,Education
517,Post Graduate
518,12th Pass
519,Graduate
520,Post Graduate
521,Post Graduate
522,Post Graduate
523,Graduate
524,Post Graduate
525,12th Pass
526,Graduate
527,Graduate
528,Post Graduate
529,Graduate Professional
530,Graduate Professional
531,Graduate
532,Graduate
533,10th Pass
534,Graduate
535,12th Pass
536,Graduate
537,Graduate
538,Graduate
539,Post Graduate
540,Graduate
541,Graduate
542,Graduate
543,Graduate
544,12th Pass
545,12th Pass
546,Post Graduate
547,10th Pass
548,Post Graduate
549,Graduate Professional
550,Graduate
551,10th Pass
552,Post Graduate
553,12th Pass
554,Graduate Professional
555,Graduate
556,Graduate
557,Graduate Professional
558,Graduate
559,12th Pass
560,Graduate Professional
561,Post Graduate
562,Graduate
563,Post Graduate
564,10th Pass
565,Post Graduate
566,Post Graduate
567,Graduate
568,Post Graduate
569,12th Pass
570,Post Graduate
571,Graduate Professional
572,Post Graduate
573,Graduate
574,Graduate
575,Graduate
576,Post Graduate
577,Graduate
578,Graduate
579,10th Pass
580,Post Graduate
581,Graduate
582,Graduate
583,Post Graduate
584,Graduate
585,12th Pass
586,Post Graduate
587,Graduate
588,Graduate
589,Graduate
590,Graduate
591,Post Graduate
592,Graduate
593,Graduate Professional
594,Post Graduate
595,Graduate Professional
596,Graduate Professional
597,Post Graduate
598,Graduate
599,Post Graduate
600,Graduate
601,12th Pass
602,Graduate
603,Post Graduate
604,Graduate
605,10th Pass
606,Post Graduate
607,Post Graduate
608,10th Pass
609,Post Graduate
610,Graduate
611,Post Graduate
612,Graduate
613,Graduate
614,Graduate
615,Graduate
616,Graduate
617,Graduate
618,12th Pass
619,Graduate Professional
620,12th Pass
621,Graduate Professional
622,Post Graduate
623,Graduate Professional
624,12th Pass
625,Graduate
626,Graduate
627,Graduate Professional
628,Graduate Professional
629,Graduate
630,Graduate
631,10th Pass
632,Graduate
633,Post Graduate
634,Graduate
635,Graduate
636,Graduate Professional
637,Post Graduate
638,Graduate
639,Post Graduate
640,Post Graduate
641,Graduate
642,10th Pass
643,10th Pass
644,10th Pass
645,Graduate Professional
646,Graduate
647,Post Graduate
648,Graduate
649,Post Graduate
650,Graduate Professional
651,Graduate
652,Graduate
653,12th Pass
654,12th Pass
655,Post Graduate
656,Post Graduate
657,Graduate
658,Graduate
659,Graduate Professional
660,Graduate Professional
661,Graduate
662,Post Graduate
663,Graduate
664,Graduate
665,Graduate
666,Post Graduate
667,Graduate
668,Post Graduate
669,12th Pass
670,Post Graduate
671,Graduate
672,Graduate Professional
673,Post Graduate
674,Graduate
675,10th Pass
676,Post Graduate
677,Post Graduate
678,Post Graduate
679,Graduate
680,12th Pass
681,Graduate
682,Graduate
683,Post Graduate
684,12th Pass
685,Graduate
686,Post Graduate
687,10th Pass
688,Post Graduate
689,10th Pass
690,Post Graduate
691,Post Graduate
692,Graduate
693,Graduate
694,Graduate
695,Graduate
696,12th Pass
697,12th Pass
698,Graduate
699,10th Pass
700,Post Graduate
701,Graduate Professional
702,Graduate Professional
703,Graduate
704,Graduate
705,Graduate
706,Graduate Professional
707,Post Graduate
708,10th Pass
709,Graduate
710,Post Graduate
711,Post Graduate
712,Post Graduate
713,12th Pass
714,Post Graduate
715,Graduate Professional
716,Graduate
717,Graduate Professional
718,Post Graduate
719,Graduate Professional
720,12th Pass
721,Graduate
722,10th Pass
723,Post Graduate
724,12th Pass
725,Post Graduate
726,10th Pass
727,Graduate
728,Graduate Professional
729,Graduate
730,10th Pass
731,12th Pass
732,12th Pass
733,Post Graduate
734,Graduate
735,10th Pass
736,Graduate
737,Post Graduate
738,Post Graduate
739,Post Graduate
740,Post Graduate
741,Post Graduate
742,Graduate
743,12th Pass
744,Graduate Professional
745,Graduate
746,Post Graduate
747,Graduate
748,12th Pass
749,Graduate
750,10th Pass
751,10th Pass
752,Graduate
753,Graduate
754,Graduate
755,Post Graduate
756,Post Graduate
757,Graduate
758,Graduate Professional
759,Graduate
760,12th Pass
761,Graduate
762,10th Pass
763,10th Pass
764,Post Graduate
765,10th Pass
766,Graduate
767,12th Pass
768,Graduate Professional
769,Post Graduate
770,Graduate
771,Graduate
772,Post Graduate
773,Graduate
774,Graduate
775,12th Pass
776,12th Pass
777,Graduate
778,Post Graduate
779,Graduate
780,Post Graduate
781,Graduate
782,10th Pass
783,Graduate
784,10th Pass
785,Post Graduate
786,Graduate Professional
787,Graduate
788,Graduate Professional
789,Post Graduate
790,Post Graduate
791,Graduate
792,Graduate
793,Post Graduate
794,Post Graduate
795,Graduate
796,Graduate
797,12th Pass
798,12th Pass
799,10th Pass
800,12th Pass
801,Graduate
802,Graduate
803,Post Graduate
804,Post Graduate
805,Graduate Professional
806,Graduate
807,Graduate Professional
808,Post Graduate
809,Post Graduate
810,10th Pass
811,Post Graduate
812,Post Graduate
813,Graduate
814,Graduate
815,Post Graduate
816,Post Graduate
817,Post Graduate
818,Graduate
819,Graduate Professional
820,Graduate
821,Graduate
822,Post Graduate
823,Graduate
824,Post Graduate
825,Post Graduate
826,12th Pass
827,10th Pass
828,Graduate
829,12th Pass
830,Post Graduate
831,Graduate
832,Post Graduate
833,Post Graduate
834,Post Graduate
835,12th Pass
836,Graduate Professional
837,Graduate Professional
838,Graduate Professional
839,12th Pass
840,Post Graduate
841,Graduate
842,Post Graduate
843,Graduate Professional
844,12th Pass
845,Graduate
846,10th Pass
847,12th Pass
848,Post Graduate
849,Graduate
850,Post Graduate
851,Graduate
852,12th Pass
853,12th Pass
854,Graduate
855,Post Graduate
856,Graduate Professional
857,Graduate Professional
858,Graduate Professional
859,Post Graduate
860,Graduate
861,Post Graduate
862,Graduate Professional
863,Graduate
864,Graduate Professional
865,Graduate
866,Graduate
867,Graduate Professional
868,10th Pass
869,Graduate
870,Graduate
871,12th Pass
872,Graduate
873,Post Graduate
874,10th Pass
875,Post Graduate
876,Post Graduate
877,Graduate
878,12th Pass
879,Graduate
880,Graduate Professional
881,Graduate Professional
882,Graduate
883,Post Graduate
884,Post Graduate
885,Graduate Professional
886,Post Graduate
887,Graduate
888,Post Graduate
889,Graduate
890,10th Pass
891,12th Pass
892,10th Pass
893,Graduate
894,Post Graduate
895,Post Graduate
896,10th Pass
897,Post Graduate
898,Graduate
899,Graduate Professional
900,Post Graduate
901,Post Graduate
902,12th Pass
903,Graduate
904,Graduate
905,Post Graduate
906,Post Graduate
907,Post Graduate
908,Graduate
909,Graduate
910,Graduate
911,12th Pass
912,Graduate
913,Graduate
914,10th Pass
915,Post Graduate
916,Post Graduate
917,Graduate
918,Post Graduate
919,Graduate
920,12th Pass
921,Graduate
922,Graduate
923,Post Graduate
924,Graduate
925,Graduate
926,12th Pass
927,12th Pass
928,Graduate
929,Graduate Professional
930,Graduate
931,Post Graduate
932,Post Graduate
933,Graduate Professional
934,Graduate
935,Graduate Professional
936,Post Graduate
937,Graduate Professional
938,Graduate Professional
939,12th Pass
940,Post Graduate
941,Graduate
942,Graduate
943,Post Graduate
944,Post Graduate
945,12th Pass
946,Graduate Professional
947,Graduate
948,Post Graduate
949,Graduate Professional
950,Post Graduate
951,12th Pass
952,Graduate
953,Graduate
954,Graduate
955,10th Pass
956,Graduate
957,Post Graduate
958,Graduate
959,Graduate
960,Graduate
961,10th Pass
962,Graduate
963,Graduate
964,12th Pass
965,Post Graduate
966,Post Graduate
967,Graduate
968,12th Pass
969,12th Pass
970,12th Pass
971,Graduate
972,Graduate Professional
973,Graduate
974,Graduate
975,Post Graduate
976,Graduate
977,12th Pass
978,Graduate
979,Graduate Professional
980,Post Graduate
981,Graduate
982,Graduate
983,12th Pass
984,Graduate Professional
985,Graduate
986,12th Pass
987,Graduate
988,Graduate
989,Graduate
990,Post Graduate
991,Post Graduate
992,Post Graduate
993,Graduate
994,Graduate Professional
995,Graduate
996,Graduate
997,Graduate
998,Graduate Professional
999,12th Pass
1000,Post Graduate
1001,Post Graduate
1002,Graduate
1003,Graduate
1004,12th Pass
1005,Graduate Professional
1006,Post Graduate
1007,12th Pass
1008,12th Pass
1009,Graduate Professional
1010,Graduate
1011,Post Graduate
1012,Post Graduate
1013,Post Graduate
1014,10th Pass
1015,Post Graduate
1016,Graduate
1017,Post Graduate
1018,Graduate Professional
1019,12th Pass
1020,Graduate
1021,Post Graduate
1022,Post Graduate
1023,12th Pass
1024,Graduate
1025,10th Pass
1026,Graduate
1027,Graduate
1028,Graduate
1029,Graduate
1030,Post Graduate
1031,Post Graduate
1032,Post Graduate
1033,Graduate
1034,Graduate Professional
1035,Post Graduate
1036,Graduate
1037,Post Graduate
1038,Graduate
1039,Graduate
1040,Graduate Professional
1041,Graduate
1042,Graduate
1043,Graduate Professional
1044,Graduate
1045,Graduate
1046,Post Graduate
1047,Graduate
1048,Graduate
1049,12th Pass
1050,Post Graduate
1051,Graduate
1052,Graduate
1053,Graduate
1054,Post Graduate
1055,Post Graduate
1056,Graduate
1057,Graduate
1058,Graduate Professional
1059,Graduate
1060,Post Graduate
1061,Graduate
1062,Graduate
1063,12th Pass
1064,Graduate
1065,Graduate
1066,Graduate Professional
1067,Graduate Professional
1068,Graduate
1069,Graduate
1070,10th Pass
1071,Graduate
1072,Graduate
1073,Graduate
1074,Graduate
1075,Graduate
1076,Post Graduate
1077,Post Graduate
1078,Graduate
1079,12th Pass
1080,Post Graduate
1081,Post Graduate
1082,Post Graduate
1083,Post Graduate
1084,12th Pass
1085,10th Pass
1086,Graduate
1087,Others
1088,Graduate
1089,Graduate
1090,Graduate Professional
1091,Graduate Professional
1092,Graduate
1093,Post Graduate
1094,Graduate
1095,Graduate
1096,Graduate
1097,10th Pass
1098,Graduate Professional
1099,Graduate
1100,10th Pass
1101,12th Pass
1102,Graduate
1103,12th Pass
1104,Graduate
1105,Post Graduate
1106,Graduate
1107,Post Graduate
1108,Graduate
1109,Graduate
1110,10th Pass
1111,Graduate
1112,Graduate
1113,Graduate
1114,Graduate
1115,Graduate
1116,Graduate Professional
1117,Graduate
1118,Post Graduate
1119,12th Pass
1120,10th Pass
1121,Graduate
1122,Graduate
1123,Graduate
1124,Graduate
1125,Graduate
1126,Graduate
1127,10th Pass
1128,Graduate
1129,Graduate
1130,12th Pass
1131,Graduate
1132,Post Graduate
1133,Post Graduate
1134,12th Pass
1135,12th Pass
1136,Graduate
1137,Post Graduate
1138,12th Pass
1139,10th Pass
1140,12th Pass
1141,Graduate
1142,Post Graduate
1143,Post Graduate
1144,Graduate
1145,Post Graduate
1146,10th Pass
1147,Graduate
1148,Graduate
1149,10th Pass
1150,Post Graduate
1151,Graduate
1152,Post Graduate
1153,Post Graduate
1154,Graduate
1155,Graduate
1156,Graduate Professional
1157,Graduate
1158,Graduate Professional
1159,Graduate
1160,Post Graduate
1161,Graduate Professional
1162,Graduate
1163,Post Graduate
1164,Post Graduate
1165,Post Graduate
1166,Graduate
1167,Post Graduate
1168,Graduate
1169,Graduate Professional
1170,12th Pass
1171,12th Pass
1172,Graduate Professional
1173,Post Graduate
1174,Graduate Professional
1175,10th Pass
1176,Post Graduate
1177,Graduate
1178,12th Pass
1179,10th Pass
1180,Post Graduate
1181,Graduate
1182,Post Graduate
1183,12th Pass
1184,Graduate
1185,12th Pass
1186,Post Graduate
1187,Graduate
1188,Graduate
1189,Graduate
1190,Graduate
1191,Graduate
1192,12th Pass
1193,Graduate Professional
1194,12th Pass
1195,Post Graduate
1196,Graduate Professional
1197,Graduate Professional
1198,12th Pass
1199,Graduate Professional
1200,12th Pass
1201,12th Pass
1202,Post Graduate
1203,12th Pass
1204,Graduate
1205,Graduate
1206,Post Graduate
1207,12th Pass
1208,Post Graduate
1209,Post Graduate
1210,Graduate
1211,Graduate
1212,Post Graduate
1213,Post Graduate
1214,Graduate Professional
1215,Graduate
1216,Post Graduate
1217,12th Pass
1218,12th Pass
1219,Post Graduate
1220,Graduate
1221,10th Pass
1222,Post Graduate
1223,Graduate
1224,Graduate
1225,Post Graduate
1226,12th Pass
1227,Graduate Professional
1228,Graduate
1229,Graduate
1230,Graduate Professional
1231,Others
1232,Graduate
1233,Post Graduate
1234,Post Graduate
1235,12th Pass
1236,Graduate
1237,10th Pass
1238,Post Graduate
1239,Post Graduate
1240,Post Graduate
1241,Graduate Professional
1242,Graduate
1243,Graduate
1244,10th Pass
1245,Graduate
1246,12th Pass
1247,Graduate
1248,Post Graduate
1249,Post Graduate
1250,Graduate
1251,Graduate
1252,Graduate
1253,Graduate Professional
1254,Post Graduate
1255,Post Graduate
1256,Post Graduate
1257,Graduate
1258,Graduate
1259,Post Graduate
1260,Post Graduate
1261,Post Graduate
1262,Post Graduate
1263,Post Graduate
1264,Graduate
1265,Graduate
1266,Graduate Professional
1267,Post Graduate
1268,Graduate
1269,Graduate
1270,Graduate Professional
1271,Post Graduate
1272,Graduate
1273,Post Graduate
1274,Graduate
1275,Graduate
1276,Graduate
1277,Graduate
1278,Post Graduate
1279,Graduate
1280,Post Graduate
1281,Graduate
1282,12th Pass
1283,Post Graduate
1284,Post Graduate
1285,Graduate
1286,12th Pass
1287,Post Graduate
1288,Graduate Professional
1289,Graduate
1290,Graduate Professional
1291,Graduate
1292,Graduate Professional
1293,Graduate
1294,Graduate
1295,Graduate
1296,Post Graduate
1297,Graduate
1298,Graduate Professional
1299,Graduate
1300,Post Graduate
1301,Graduate
1302,10th Pass
1303,Graduate
1304,Post Graduate
1305,Graduate
1306,Graduate
1307,Graduate Professional
1308,Post Graduate
1309,Post Graduate
1310,Graduate Professional
1311,Graduate
1312,Graduate
1313,Graduate Professional
1314,12th Pass
1315,Graduate
1316,Graduate
1317,Graduate
1318,12th Pass
1319,Graduate Professional
1320,10th Pass
1321,Graduate
1322,Graduate
1323,Graduate
1324,Graduate
1325,Post Graduate
1326,Graduate
1327,10th Pass
1328,Post Graduate
1329,Post Graduate
1330,Graduate
1331,Post Graduate
1332,Graduate
1333,Graduate
1334,Graduate Professional
1335,12th Pass
1336,Post Graduate
1337,Post Graduate
1338,Post Graduate
1339,Graduate
1340,Post Graduate
1341,Post Graduate
1342,12th Pass
1343,Graduate
1344,Graduate
1345,12th Pass
1346,Post Graduate
1347,Post Graduate
1348,Graduate
1349,10th Pass
1350,Post Graduate
1351,Graduate
1352,12th Pass
1353,Graduate
1354,Graduate
1355,Graduate
1356,12th Pass
1357,Graduate
1358,Post Graduate
1359,10th Pass
1360,Post Graduate
1361,Graduate
1362,Graduate
1363,Post Graduate
1364,Post Graduate
1365,Graduate
1366,Graduate
1367,Post Graduate
1368,Graduate
1369,Graduate
1370,Post Graduate
1371,Graduate
1372,Graduate Professional
1373,Post Graduate
